seed,cosine_similarity,bias_diff,latent_alignment_fraction,train_acc_simple,train_acc_updated
0,-0.2520905636122595,0.020004401154854412,0.436625,1.0,0.7375
1,0.23752251908000782,0.11766908617387778,0.54825,1.0,0.72875
2,0.40811734081017015,0.03330312635963595,0.587375,1.0,0.753125
3,0.15066865921316314,0.2525587983045105,0.52425,0.99975,0.725875
4,-0.12593847486763443,0.042219717413516544,0.4615,1.0,0.731375
5,0.04672381876215261,0.14431584510073206,0.506,1.0,0.725875
6,-0.11601917485532363,0.20374450458813945,0.47875,1.0,0.752
7,0.25076865739011517,0.09399570897140808,0.549125,1.0,0.73
8,0.22943019539229428,0.4424712152675907,0.55075,1.0,0.847
9,0.09086675097791652,0.06273747788883496,0.51825,1.0,0.7395
10,-0.21827351949708235,0.42471972752934567,0.472,1.0,0.72375
11,-0.10427483823824883,0.16054254211967767,0.483625,1.0,0.725875
